The monster-racing season is almost upon	Сезон гонок монстров уже на носу
us, My Lord, God of Destruction.	у нас, Повелитель, Бог Разрушения.
Last year we lost by a nose to those	В прошлом году нас на нос обошли те
blasted Chubby Liliths.	проклятые Пышные лилит.
They just beat us to the finish in every	Они нас обскакали на финише в каждой
single race.	чёртовой гонке.
It made me so mad I couldn't even'	Меня так взбесило, что я даже не мог'
concentrate on world domination!	думать про мировое господство!
This year, we need to redeem our	В этом году надо вернуть себе
honor. And for that, we'll need a'	честь. А для этого нам нужен'
Dvagon.	Двагон.
You know what a Dvagon is, don't you?'	Ты ж знаешь, что такое двагон, да?'
They're nowhere near as tough as other'	Они куда хилее прочих'
dragons.	драконов.
But they're the fastest fiends in the'	Зато самые быстрые твари в'
dungeon - the mach daddies, if you will!	данже — папочки-мах, если хочешь!
One of those bad boys would be enough	Одного такого красавца хватит,
to see us take the championship with	чтобы чемпионат наш стал
ease.	лёгкой прогулкой.
And with the championship under my	А с чемпионским кубком за
belt, I can get back to concentrating	поясом я снова смогу думать
on world domination!	про мировое господство!
That's where you come in, My Lord.'	Вот тут-то ты и нужен, Повелитель.'
Word on the corridor is that Dvagons	По коридорным слухам, двагоны
are born from Dragons who don't have'	рождаются от драконов, у которых нет'
enough nutrients and mana.	достаточной пищи и маны.
When Dragons get weak, they disperse	Когда драконы слабеют, они сбрасывают
all their nutrients and mana in the	всю пищу и ману в
soil around them and lay an egg.	почву вокруг и кладут яйцо.
If you make a Dragon lay an egg a few	Если заставить дракона снести яйцо
times without feeding it, it'll run low'	несколько раз без кормёжки, у него сразу'
on nutrients and mana in no time.	сядут пища и мана.
And once that happens, you might just	И когда это случится, глядишь —
be able to make a Dvagon.	получится двагон.
We've got two minutes left until the'	До дедлайна новых заявок две'
deadline for new entrants. Think you	минуты. Как думаешь,
can do it in time?	успеешь?
Make a mach daddy!	Сделай папочку-мах!
Good day to you. Badman here.	Добрый день. Бэдмен на связи.
I know it's a bit out of the blue, but'	Знаю, это как снег на голову, но'
I've decided to set you a test today.'	я решил устроить тебе тест сегодня.'
It's called Runeology 101.'	Называется Рунология 101.'
You need qualifications if you want to	Без корочек нынче никуда,
get anywhere these days, so it'll stand'	если хочешь чего-то добиться, так что это'
you in good stead.	тебе пригодится.
Ooh, are you alright? Your face went a	Ой, ты в порядке? Лицо у тебя
little grey when I started talking	посерело, как я заикнулся
about tests...	про тесты...
Come on, there's no need to get all'	Да ладно, не надо так'
worked up - you'll be fine!'	психовать — ты справишься!'
It's just a little trial to test your'	Это просто маленькая проверка твоих'
knowledge of runeborn beasts and how to	знаний про рунных тварей и как их
spawn them.	плодить.
It'll be a walk in the park for a big'	Для большого взрослого Бога Разрушения'
grown-up God of Destruction like	это плёвое дело, как для
Hmm... Not exactly the fired-up	Хм... Не совсем тот запал,
response I was looking for...	на который я рассчитывал...
Wait a second! You're not trying to'	Секунду! Ты же не хочешь'
tell me you don't know which runes'	сказать, что не знаешь, какие руны'
spawn which monsters, are you?	каких монстров плодят, а?
Sorry, what am I saying? Of course you	Прости, что я такое говорю? Конечно
do. You just need a bit of a warm-up to	знаешь. Тебе просто надо чуть размяться,
refresh your memory, right?	чтобы освежить память, верно?
Very well. Here goes...	Отлично. Поехали...
Aye or nay: soil in the second	Да или нет: почва на втором
stratum with 17 nutrients and 19 mana	слое с 17 пищи и 19 маны
would spawn a Talos.	родит Талоса.
Excellent! See, you know more than you	Отлично! Видишь, ты знаешь больше,
