# SPT EN -> RU; applied as Latin translit at build
Are you happy with this spot?	Тут тебе норм стоять?
So, where do you want me to stand?	Ну, куда меня поставить?
So, where shall I stand?	Так, где мне стоять?
heroic types are on their way!	святоши-герои уже в пути!
My Lord!	Повелитель!
That's the end of Daily Challenge'	Вот и всё, Данж на день'
%s?	%s?
...Hm?	...Хм?
Harrumph.	Хрмф.
Heroes? Ugh, not again!	Герои? Тьфу, опять!
Huh!? It looks like abominable	А?! Похоже, мерзкие
If the %spopulation	Если популяция %s
My Lord.	Повелитель.
(gibber gibber)	(гыгы гыгы)
-OOOOOOOOOOOOOOOOOOOOOOOOOOOOOO-	-ИИИИИИИИИИИИИИИИИИИИИИИИИИИИИИ-
...Huh!?	...А?!
3...2...1...think!	3...2...1...думай!
Ahh, excellent. That was fun, wasn't'	Ах, супер. Весело ж было,'
Before I forget, here's some additional'	Пока не забыл, вот ещё пара'
Do I read you right? You want me to cast	Я правильно понял? Хочешь, чтоб я
Extra Heroes only invade the dungeon	Экстра-герои лезут в данж
Here's alright, is it?'	Тут нормально, да?'
Hero alert! Hero alert!	Герои! Тревога! Тревога!
Hey! What about me!?	Эй! А я-то что!?
Hm?	Хм?
Hurry up and put me down somewhere.	Да поставь ты меня уже куда-нибудь.
I do like your style, My Lord. The way	Стиль зачётный, Повелитель. Как ты
I'm not sure how I'll go on without you,	Не знаю, как без тебя дальше,
It Came From the Soil	Оно вылезло из почвы
It's so unfair!'	Это ж нечестно!'
It's truly a joy to behold!'	Глаз не оторвать, красота!'
Just press the L button, and select	Жми L и выбери
My Lord! Permanently!	Повелитель! Навсегда!
My Lord?	Повелитель?
Oh, No! A Hero!	О нет! Герой!
Okay, now it's time to think back over'	А теперь вспомни всё,'
One theory is that these so-called	Есть теория, что эти так называемые
Or you might want to try thinning out	Или прореди своих
Pickaxe!	Кирка!
R-R-Rewind spell to turn back time and	О-о-отмотка — вернуть время и
Replay from the first stage of	Повтор с первого этапа
Rune for Improvement	Руны для роста
So they've come at last...'	Ну вот, добрались-таки...'
So, um...	Так, э-э...
Stop playing around with my heart,	Хватит играть с моим сердцем,
That's just my opinion, of course...'	Это, конечно, чисто моё мнение...'
The balance of the %s	Баланс %s
